learning_rate,epochs,hidden_layers,activation,optimizer,accuracy,f1_score,precision,recall
0.001,50,"[32, 54]",tanh,sgd,0.6157205240174672,0.5839598745059,0.6033686837180288,0.6157205240174672
0.001,50,"[32, 54]",tanh,mini_batch,0.5807860262008734,0.5690835851252892,0.5609859690579933,0.5807860262008734
0.001,50,"[32, 54]",tanh,batch,0.14410480349344978,0.1894086440744673,0.35221735541591226,0.14410480349344978
0.001,300,[9],relu,sgd,0.611353711790393,0.5891246962532886,0.6165975965837207,0.611353711790393
0.001,300,[9],relu,mini_batch,0.519650655021834,0.4895828556390887,0.5002548641131951,0.519650655021834
0.001,300,[9],relu,batch,0.3406113537117904,0.35439806550053154,0.414303295758847,0.3406113537117904
0.001,300,[9],sigmoid,sgd,0.62882096069869,0.6099588679574256,0.644266688432709,0.62882096069869
0.001,300,[9],sigmoid,mini_batch,0.5327510917030568,0.4807854080196938,0.5955463642927524,0.5327510917030568
0.001,300,[9],sigmoid,batch,0.3799126637554585,0.2661910326588351,0.6594830638498761,0.3799126637554585
0.001,300,[9],tanh,sgd,0.6157205240174672,0.5917924335473481,0.6134824391230422,0.6157205240174672
0.001,300,[9],tanh,mini_batch,0.5633187772925764,0.5275266649917546,0.5233442021011665,0.5633187772925764
0.001,300,[9],tanh,batch,0.22270742358078602,0.2796652250185265,0.3904952874967311,0.22270742358078602
0.001,300,"[32, 54]",relu,sgd,0.6419213973799127,0.6217434704462703,0.6797650089535358,0.6419213973799127
0.001,300,"[32, 54]",relu,mini_batch,0.5807860262008734,0.5646100485828436,0.5583078398882836,0.5807860262008734
0.001,300,"[32, 54]",relu,batch,0.462882096069869,0.47042908204232964,0.5067115640410689,0.462882096069869
0.001,300,"[32, 54]",sigmoid,sgd,0.6419213973799127,0.6178933151471407,0.665111419461884,0.6419213973799127
0.001,300,"[32, 54]",sigmoid,mini_batch,0.5633187772925764,0.5084881335210553,0.6251045247607545,0.5633187772925764
0.001,300,"[32, 54]",sigmoid,batch,0.4192139737991266,0.24765871682902255,0.7565263820293281,0.4192139737991266
0.001,300,"[32, 54]",tanh,sgd,0.6069868995633187,0.5771237098159193,0.5938067363252251,0.6069868995633187
0.001,300,"[32, 54]",tanh,mini_batch,0.6331877729257642,0.6091752567111269,0.6377166524107505,0.6331877729257642
0.001,300,"[32, 54]",tanh,batch,0.2794759825327511,0.34082806076050454,0.4609395702634403,0.2794759825327511
0.001,500,[9],relu,sgd,0.6331877729257642,0.6026046441028864,0.6835684755899558,0.6331877729257642
0.001,500,[9],relu,mini_batch,0.6200873362445415,0.6041804924723726,0.6308455736403334,0.6200873362445415
0.001,500,[9],relu,batch,0.2052401746724891,0.2631587611263458,0.36717981877286376,0.2052401746724891
0.001,500,[9],sigmoid,sgd,0.6331877729257642,0.6187945589220641,0.6427311771198234,0.6331877729257642
0.001,500,[9],sigmoid,mini_batch,0.611353711790393,0.5617121199637471,0.6681915640703434,0.611353711790393
0.001,500,[9],sigmoid,batch,0.34934497816593885,0.2533121097822958,0.21322520274485338,0.34934497816593885
0.001,500,[9],tanh,sgd,0.6244541484716157,0.6023226382788655,0.6296092582654337,0.6244541484716157
0.001,500,[9],tanh,mini_batch,0.5982532751091703,0.5738652494908663,0.5833586361854708,0.5982532751091703
0.001,500,[9],tanh,batch,0.22707423580786026,0.2759825327510917,0.4279475982532751,0.22707423580786026
0.001,500,"[32, 54]",relu,sgd,0.62882096069869,0.610612489289438,0.6415080248499205,0.62882096069869
0.001,500,"[32, 54]",relu,mini_batch,0.5895196506550219,0.5712753683563251,0.5953898598477352,0.5895196506550219
0.001,500,"[32, 54]",relu,batch,0.4366812227074236,0.4442740041452981,0.4968666631809301,0.4366812227074236
0.001,500,"[32, 54]",sigmoid,sgd,0.62882096069869,0.6104453599618548,0.6386774797255147,0.62882096069869
0.001,500,"[32, 54]",sigmoid,mini_batch,0.5545851528384279,0.5026227025457742,0.6160395181021401,0.5545851528384279
0.001,500,"[32, 54]",sigmoid,batch,0.519650655021834,0.4765506017000247,0.603233415807154,0.519650655021834
0.001,500,"[32, 54]",tanh,sgd,0.6157205240174672,0.5984388382042398,0.6220211409932679,0.6157205240174672
0.001,500,"[32, 54]",tanh,mini_batch,0.6244541484716157,0.5928508552393116,0.5955279279080338,0.6244541484716157
0.001,500,"[32, 54]",tanh,batch,0.35807860262008734,0.39145613261479584,0.4468598605651884,0.35807860262008734
0.0001,50,[9],relu,sgd,0.4978165938864629,0.4765271465209082,0.48288110640295884,0.4978165938864629
0.0001,50,[9],relu,mini_batch,0.1572052401746725,0.20918102093910643,0.3814502342368525,0.1572052401746725
0.0001,50,[9],relu,batch,0.3799126637554585,0.415911394644852,0.4955121385727044,0.3799126637554585
0.0001,50,[9],sigmoid,sgd,0.5676855895196506,0.5082402321579784,0.6281199667000681,0.5676855895196506
0.0001,50,[9],sigmoid,mini_batch,0.2663755458515284,0.26041880366929454,0.4072797104847859,0.2663755458515284
0.0001,50,[9],sigmoid,batch,0.03056768558951965,0.009753791413180059,0.9744886233049874,0.03056768558951965
0.0001,50,[9],tanh,sgd,0.4978165938864629,0.46738566995545894,0.47224961262149595,0.4978165938864629
0.0001,50,[9],tanh,mini_batch,0.048034934497816595,0.05915503114538381,0.3759711903816707,0.048034934497816595
0.0001,50,[9],tanh,batch,0.30131004366812225,0.28040920389601154,0.42810735194370525,0.30131004366812225
0.0001,50,"[32, 54]",relu,sgd,0.5982532751091703,0.5920920736448527,0.5978625803910966,0.5982532751091703
0.0001,50,"[32, 54]",relu,mini_batch,0.2314410480349345,0.25811923499054246,0.3060776880453223,0.2314410480349345
0.0001,50,"[32, 54]",relu,batch,0.09606986899563319,0.11417574711649235,0.6127358338679355,0.09606986899563319
0.0001,50,"[32, 54]",sigmoid,sgd,0.5720524017467249,0.5143078438036756,0.6344677627780969,0.5720524017467249
0.0001,50,"[32, 54]",sigmoid,mini_batch,0.4192139737991266,0.24765871682902255,0.7565263820293281,0.4192139737991266
0.0001,50,"[32, 54]",sigmoid,batch,0.39737991266375544,0.2675267521894779,0.6844370413721694,0.39737991266375544
0.0001,50,"[32, 54]",tanh,sgd,0.6244541484716157,0.6050265775474213,0.6099816134222018,0.6244541484716157
0.0001,50,"[32, 54]",tanh,mini_batch,0.2663755458515284,0.3226229794793723,0.4688005624374932,0.2663755458515284
0.0001,50,"[32, 54]",tanh,batch,0.20087336244541484,0.2567657823487106,0.39853630923499916,0.20087336244541484
0.0001,300,[9],relu,sgd,0.6200873362445415,0.5894471804751309,0.6171893866859105,0.6200873362445415
0.0001,300,[9],relu,mini_batch,0.3537117903930131,0.36928961572061364,0.3945957569249795,0.3537117903930131
0.0001,300,[9],relu,batch,0.33624454148471616,0.24030693333392114,0.24406683121321435,0.33624454148471616
0.0001,300,[9],sigmoid,sgd,0.5676855895196506,0.5273602907959348,0.5891187016175393,0.5676855895196506
0.0001,300,[9],sigmoid,mini_batch,0.4148471615720524,0.35492390149172476,0.4786055052722511,0.4148471615720524
0.0001,300,[9],sigmoid,batch,0.3056768558951965,0.2377333647405582,0.7518058812141029,0.3056768558951965
0.0001,300,[9],tanh,sgd,0.6506550218340611,0.6252422836134202,0.6579276007019549,0.6506550218340611
0.0001,300,[9],tanh,mini_batch,0.2794759825327511,0.33559373472037224,0.4405667944033509,0.2794759825327511
0.0001,300,[9],tanh,batch,0.13973799126637554,0.1983063031875378,0.452975670617592,0.13973799126637554
0.0001,300,"[32, 54]",relu,sgd,0.6157205240174672,0.5963043908659879,0.6198942771776603,0.6157205240174672
0.0001,300,"[32, 54]",relu,mini_batch,0.4585152838427948,0.45830674656207926,0.4590820759668971,0.4585152838427948
0.0001,300,"[32, 54]",relu,batch,0.2314410480349345,0.2310411903148965,0.3782309878379747,0.2314410480349345
0.0001,300,"[32, 54]",sigmoid,sgd,0.5982532751091703,0.5496003954848808,0.6569260680167316,0.5982532751091703
0.0001,300,"[32, 54]",sigmoid,mini_batch,0.4497816593886463,0.3919445676265729,0.543446516346158,0.4497816593886463
0.0001,300,"[32, 54]",sigmoid,batch,0.026200873362445413,0.001337916937656787,0.9744856124025095,0.026200873362445413
0.0001,300,"[32, 54]",tanh,sgd,0.6331877729257642,0.6144923514739948,0.6489836764400083,0.6331877729257642
0.0001,300,"[32, 54]",tanh,mini_batch,0.40611353711790393,0.40351026205850354,0.41975228161668837,0.40611353711790393
0.0001,300,"[32, 54]",tanh,batch,0.19213973799126638,0.2108837923643824,0.26237539012412026,0.19213973799126638
0.0001,500,[9],relu,sgd,0.6331877729257642,0.6197847057075119,0.6490945886578113,0.6331877729257642
0.0001,500,[9],relu,mini_batch,0.5065502183406113,0.49924560801419876,0.5113595529295458,0.5065502183406113
